,,Region,Male,Female,All,All %
2020,0,Riyadh         ,1903,2590,4493,
2020,1,Makkah         ,1279,1570,2849,
2020,2,Eastern        ,1241,1458,2699,
2020,3,Asir           ,365,414,779,
2020,4,Madinah        ,337,430,767,
2020,5,Qassim         ,254,338,592,
2020,6,Tabuk          ,180,238,418,
2020,7,Jazan          ,179,197,376,
2020,8,Hail           ,101,172,273,
2020,9,Najran         ,125,141,266,
2020,10,Jouf           ,92,117,209,
2020,11,Baha           ,82,91,173,
2020,12,Northern       ,68,80,148,
2020,13,Unknown        ,2,3,5,
2020,14,International  ,1,2,3,
2020,15,Total          ,6209,7841,14050,
2019,0,Riyadh         ,2222,2865,5087,
2019,1,Makkah         ,1746,2285,4031,
2019,2,Eastern        ,1268,1650,2918,
2019,3,Asir           ,415,545,960,
2019,4,Madinah        ,316,388,704,
2019,5,Qassim         ,204,320,524,
2019,6,Tabuk          ,211,215,426,
2019,7,Jazan          ,167,210,377,
2019,8,Hail           ,109,198,307,
2019,9,Jouf           ,88,129,217,
2019,10,Najran         ,99,118,217,
2019,11,Baha           ,82,119,201,
2019,12,Northern       ,74,91,165,
2019,13,International  ,4,1,5,
2019,14,Total          ,7005,9134,16139,
2018,0,Riyadh         ,2007,2625,4632,
2018,1,Eastern        ,1277,1674,2951,
2018,2,Makkah         ,1760,2288,4048,
2018,3,Qassim         ,253,379,632,
2018,4,Jouf           ,86,126,212,
2018,5,Tabuk          ,175,189,364,
2018,6,Najran         ,105,140,245,
2018,7,Asir           ,526,581,1107,
2018,8,Northern       ,64,73,137,
2018,9,Hail           ,89,156,245,
2018,10,Madinah        ,246,297,543,
2018,11,Baha           ,88,91,179,
2018,12,Jazan          ,161,203,364,
2018,13,International  ,3,8,11,
2018,14,Unknown        ,8,10,18,
2018,15,Total          ,6848,8840,15688,
2017,0,Riyadh         ,1691,2175,3866,
2017,1,Makkah         ,1461,1927,3388,
2017,2,Eastern        ,1071,1607,2678,
2017,3,Asir           ,438,520,958,
2017,4,Madinah        ,281,373,654,
2017,5,Qassim         ,258,379,637,
2017,6,Tabuk          ,175,193,368,
2017,7,Jazan          ,117,190,307,
2017,8,Najran         ,85,113,198,
2017,9,Hail           ,62,129,191,
2017,10,Jouf           ,64,96,160,
2017,11,Baha           ,60,83,143,
2017,12,Northern       ,51,67,118,
2017,13,Unknown        ,103,120,223,
2017,14,International  ,1,3,4,
2017,15,Total          ,5918,7975,13893,
2016,0,Riyadh         ,1604,2093,3697,
2016,1,Makkah         ,1352,1673,3025,
2016,2,Eastern        ,1094,1445,2539,
2016,3,Asir           ,498,520,1018,
2016,4,Madinah        ,293,328,621,
2016,5,Qassim         ,225,330,555,
2016,6,Jazan          ,149,206,355,
2016,7,Tabuk          ,154,200,354,
2016,8,Hail           ,79,151,230,
2016,9,Jouf           ,92,124,216,
2016,10,Najran         ,87,122,209,
2016,11,Baha           ,82,80,162,
2016,12,Northern       ,67,58,125,
2016,13,Unknown        ,26,25,51,
2016,14,International  ,1,3,4,
2016,15,Total          ,5803,7358,13161,
2015,0,Riyadh           ,1580,1960,3540,
2015,1,Makkah           ,1288,1455,2743,
2015,2,Eastern Region   ,991,1244,2235,
2015,3,Asir             ,408,414,822,
2015,4,Madinah          ,263,338,601,
2015,5,Qassim           ,208,293,501,
2015,6,Hail             ,83,143,226,
2015,7,Tabuk            ,172,182,354,
2015,8,Jazan            ,134,125,259,
2015,9,Jouf             ,86,123,209,
2015,10,Baha             ,62,89,151,
2015,11,Najran           ,67,93,160,
2015,12,Northern Region  ,67,84,151,
2015,13,Unknown          ,45,41,86,
2015,14,Total            ,5454,6584,12038,
2014,0,Riyadh   ,1514,1986,3500,
2014,1,Makkah   ,1250,1368,2618,
2014,2,Eastern  ,900,1155,2055,
2014,3,Asir     ,399,489,888,
2014,4,Madinah  ,285,294,579,
2014,5,Qassim   ,188,261,449,
2014,6,Hail     ,84,144,228,
2014,7,Tabuk    ,157,132,289,
2014,8,Jazan    ,142,118,260,
2014,9,Jouf     ,71,98,169,
2014,10,Baha     ,74,80,154,
2014,11,Najran   ,88,77,165,
2014,12,Northern ,61,67,128,
2014,13,Unknown  ,86,95,181,
2014,14,Total    ,5299,6364,11663,
2013,0,Eastern  ,936,1186,2122,
2013,1,Riyadh   ,1506,1773,3279,
2013,2,Tabuk    ,155,175,330,
2013,3,Makkah   ,1091,1421,2512,
2013,4,Madinah  ,347,364,711,
2013,5,Asir     ,444,458,902,
2013,6,Jouf     ,79,94,173,
2013,7,Northern ,49,69,118,
2013,8,Qassim   ,208,248,456,
2013,9,Najran   ,77,85,162,
2013,10,Baha     ,73,109,182,
2013,11,Hail     ,94,145,239,
2013,12,Jazan    ,169,184,353,
2013,13,Unknown  ,53,53,106,
2013,14,Total    ,5281,6364,11645,
2012,0,Eastern  ,862,1033,1895,
2012,1,Riyadh   ,1416,1641,3057,
2012,2,Tabuk    ,159,154,313,
2012,3,Madinah  ,330,374,704,
2012,4,Makkah   ,1170,1426,2596,
2012,5,Northern ,43,46,89,
2012,6,Najran   ,79,100,179,
2012,7,Qassim   ,206,223,429,
2012,8,Asir     ,363,396,759,
2012,9,Baha     ,88,94,182,
2012,10,Jouf     ,60,81,141,
2012,11,Hail     ,93,141,234,
2012,12,Jazan    ,171,207,378,
2012,13,Total    ,5040,5916,10956,
